Movie,ImdbID,Rating,Vote,Production_Budget_million,Billion_Dollar_Club
Jurassic World Dominion,tt8041270,5.7,148012.0,165.0,1.0
The Dark Knight ,tt0468569,9.0,2633662.0,185.0,1.0
The Hobbit: An Unexpected Journey,tt0903624,7.8,826806.0,176.85,1.0
Harry Potter and the Sorcerer's Stone,tt0241527,7.6,775303.0,125.0,1.0
Zootopia�,tt2948356,8.0,497082.0,176.85,1.0
Alice in Wonderland,tt1014759,6.4,415542.0,200.0,1.0
Star Wars: Episode I - The Phantom Menace,tt0120915,6.5,803518.0,115.0,1.0
Finding Dory,tt2277860,7.3,276457.0,176.85,1.0
Despicable Me 3,tt3469046,6.2,136472.0,80.0,1.0
Pirates of the Caribbean: On Stranger Tides,tt1298650,6.6,528181.0,250.0,1.0
Aladdin,tt6139732,6.9,265566.0,183.0,1.0
Rogue One: A Star Wars Story,tt3748528,7.8,633031.0,200.0,1.0
The Lion King,tt0110357,8.5,1052131.0,45.0,1.0
Pirates of the Caribbean: Dead Man's Chest,tt0383574,7.3,718209.0,225.0,1.0
Joker,tt7286456,8.4,1263290.0,55.0,1.0
Toy Story 3,tt0435761,8.3,833128.0,200.0,1.0
Toy Story 4,tt1979376,7.7,250085.0,200.0,1.0
Star Wars: Episode IX - The Rise of Skywalker,tt2527338,6.5,448970.0,176.85,1.0
The Dark Knight Rises,tt1345836,8.4,1695368.0,250.0,1.0
Transformers: Age of Extinction,tt2109248,5.6,314770.0,210.0,1.0
�Skyfall,tt1074638,7.8,696444.0,200.0,1.0
Jurassic Park,tt0107290,8.2,984028.0,63.0,1.0
Transformers: Dark of the Moon,tt1399103,6.2,409378.0,195.0,1.0
�Captain Marvel,tt4154664,6.8,557518.0,152.0,1.0
�Spider-Man: Far from Home,tt6320628,7.4,488662.0,160.0,1.0
The Lord of the Rings: The Return of the King,tt0167260,9.0,1834661.0,94.0,1.0
Aquaman,tt1477834,6.8,472133.0,176.85,1.0
Captain America: Civil War,tt3498820,7.8,783303.0,250.0,1.0
Minions,tt2293640,6.4,239712.0,74.0,1.0
Iron Man 3,tt1300854,7.1,847143.0,200.0,1.0
The Fate of the Furious,tt4630562,6.6,232586.0,250.0,1.0
Incredibles 2,tt3606756,7.6,296569.0,176.85,1.0
Beauty and the Beast,tt2771200,7.1,309219.0,60.0,1.0
Frozen�,tt2294629,7.4,623513.0,150.0,1.0
Jurassic World: Fallen Kingdom,tt4881806,6.1,316483.0,170.0,1.0
Star Wars: The Last Jedi,tt2527336,6.9,629742.0,176.85,1.0
Harry Potter and the Deathly Hallows Part 2,tt1201607,8.1,870718.0,176.85,1.0
Black Panther,tt1825683,7.3,758495.0,176.85,1.0
Avengers: Age of Ultron,tt2395427,7.3,859660.0,250.0,1.0
Frozen II�,tt4520988,6.8,172318.0,150.0,1.0
Top Gun: Maverick,tt1745960,8.4,425009.0,170.0,1.0
Furious 7,tt2820852,7.1,390449.0,190.0,1.0
The Avengers,tt0848228,8.0,1385232.0,220.0,1.0
The Lion King,tt6105098,6.8,245060.0,176.85,1.0
Jurassic World�,tt0369610,6.9,642206.0,150.0,1.0
Spider-Man: No Way Home,tt10872600,8.3,742868.0,200.0,1.0
Avengers: Infinity War,tt4154756,8.4,1069345.0,176.85,1.0
Star Wars: The Force Awakens,tt2488496,7.8,927990.0,245.0,1.0
Titanic,tt0120338,7.9,1166134.0,200.0,1.0
Avengers: Endgame�,tt4154796,8.4,1116535.0,356.0,1.0
Avatar,tt0499549,7.8,1244198.0,237.0,1.0
Disaster Movie,tt1213644,1.9,91812.0,20.0,0.0
Manos: The Hands of Fate,tt0060666,1.6,36507.0,0.019,0.0
Birdemic: Experience Tour,,,,27.275230769230767,
Superbabies: Baby Geniuses 2,tt0270846,1.5,31134.0,20.0,0.0
The Hottie & the Nottie,tt0804492,1.9,38419.0,27.275230769230767,0.0
House of the Dead,tt0317676,2.1,37508.0,12.0,0.0
Son of the Mask�,tt0362165,2.2,56650.0,84.0,0.0
Saving Christmas�,tt4009460,1.3,15985.0,0.5,0.0
Epic Movie,tt0799949,2.4,106124.0,20.0,0.0
Battlefield Earth,tt0185183,2.5,80475.0,73.0,0.0
Pledge This!,tt0417056,1.6,18405.0,8.0,0.0
Alone in the Dark,tt0083542,6.0,6233.0,20.0,0.0
Radhe,tt10888594,1.9,177911.0,27.275230769230767,0.0
Dragonball: Evolution,tt1098327,2.6,75083.0,30.0,0.0
From Justin to Kelly,tt0339034,1.9,26513.0,12.0,0.0
Going Overboard,tt0096870,1.8,13729.0,0.8,0.0
Race 3,tt7431594,1.9,46856.0,27.275230769230767,0.0
Meet the Spartans,tt1073498,2.8,108457.0,30.0,0.0
Turks in Space�,tt0808240,1.5,16340.0,5.0,0.0
Gigli�,tt0299930,2.6,49217.0,54.0,0.0
Foodfight!,tt0249516,1.3,11072.0,65.0,0.0
Date Movie�,tt0466342,2.8,59841.0,20.0,0.0
Cats,tt5697572,2.8,51635.0,95.0,0.0
Baby Geniuses,tt0118665,2.5,26704.0,12.0,0.0
Daniel the Wizard,tt0421051,1.2,14425.0,27.275230769230767,0.0
Glitter,tt0118589,2.4,23603.0,22.0,0.0
Jaws: The Revenge,tt0093300,3.0,46509.0,23.0,0.0
Troll 2�,tt0105643,2.9,33100.0,0.1,0.0
The Human Centipede III (Final Sequence),tt1883367,2.8,17300.0,27.275230769230767,0.0
BloodRayne,tt0383222,2.9,35893.0,25.0,0.0
Hobgoblins,tt0089280,2.1,12848.0,0.015,0.0
�Cosmic Sin,tt11762434,2.5,13610.0,27.275230769230767,0.0
�Left Behind,tt2467046,3.1,40188.0,16.0,0.0
365 Days: This Day,tt12996154,2.6,20015.0,27.275230769230767,0.0
365 Days,tt10886166,3.3,90141.0,27.275230769230767,0.0
Who's Your Caddy?,tt0785077,2.2,15102.0,7.0,0.0
Jack and Jill,tt0810913,3.3,85325.0,79.0,0.0
Rollerball,tt0073631,6.6,25754.0,70.0,0.0
Santa Claus Conquers the Martians,tt0058548,2.6,11852.0,0.2,0.0
Catwoman,tt0327554,3.4,120111.0,100.0,0.0
Kazaam,tt0116756,3.0,24614.0,20.0,0.0
Slender Man�,tt5690360,3.2,34814.0,10.0,0.0
Enes Batur,tt7668842,2.0,55276.0,27.275230769230767,0.0
The Cost of Deception,tt14723224,1.5,38086.0,27.275230769230767,0.0
The Emoji Movie,tt4877122,3.3,64970.0,50.0,0.0
Vampires Suck,tt1666186,3.4,49370.0,20.0,0.0
Steel,tt0120207,2.9,14177.0,16.0,0.0
The Starving Games,tt2403029,3.2,20913.0,4.0,0.0
The Open House�,tt7608028,3.3,34810.0,0.1,0.0
�Scary Movie 5�,tt0795461,3.5,72482.0,20.0,0.0
